Category: All categories

Month,"""data engineering"": (Worldwide)","""data science"": (Worldwide)","""software engineering"": (Worldwide)"
2012-01,<1,<1,21
2012-02,<1,1,21
2012-03,<1,1,21
2012-04,<1,1,21
2012-05,<1,1,21
2012-06,<1,1,20
2012-07,<1,1,20
2012-08,<1,1,20
2012-09,<1,1,23
2012-10,<1,1,19
2012-11,<1,1,20
2012-12,<1,1,17
2013-01,<1,1,20
2013-02,<1,1,22
2013-03,<1,2,20
2013-04,<1,2,20
2013-05,<1,3,20
2013-06,<1,2,19
2013-07,<1,2,19
2013-08,<1,3,19
2013-09,<1,3,22
2013-10,<1,3,19
2013-11,<1,3,20
2013-12,<1,4,18
2014-01,<1,4,20
2014-02,<1,4,20
2014-03,<1,4,20
2014-04,<1,5,20
2014-05,<1,5,22
2014-06,<1,5,19
2014-07,<1,6,18
2014-08,<1,7,20
2014-09,<1,7,21
2014-10,<1,7,21
2014-11,<1,7,22
2014-12,<1,7,19
2015-01,<1,9,21
2015-02,<1,9,22
2015-03,<1,10,21
2015-04,<1,10,21
2015-05,<1,10,20
2015-06,<1,11,18
2015-07,<1,11,20
2015-08,<1,12,20
2015-09,<1,13,21
2015-10,<1,13,20
2015-11,<1,13,21
2015-12,<1,13,19
2016-01,<1,14,19
2016-02,<1,14,22
2016-03,<1,15,20
2016-04,<1,16,19
2016-05,<1,17,21
2016-06,<1,19,19
2016-07,<1,17,17
2016-08,<1,16,19
2016-09,<1,20,21
2016-10,<1,19,19
2016-11,<1,20,20
2016-12,<1,20,19
2017-01,<1,23,19
2017-02,1,26,22
2017-03,1,28,23
2017-04,<1,26,22
2017-05,1,29,21
2017-06,1,29,18
2017-07,1,30,19
2017-08,1,32,20
2017-09,1,35,21
2017-10,1,36,21
2017-11,1,36,23
2017-12,1,32,20
2018-01,1,40,20
2018-02,1,41,23
2018-03,1,41,23
2018-04,1,40,23
2018-05,1,41,24
2018-06,1,41,17
2018-07,1,43,19
2018-08,1,45,20
2018-09,1,47,23
2018-10,1,50,23
2018-11,1,48,24
2018-12,1,44,20
2019-01,1,53,21
2019-02,1,55,23
2019-03,1,55,23
2019-04,1,55,26
2019-05,1,56,28
2019-06,1,58,20
2019-07,1,66,21
2019-08,1,64,21
2019-09,2,70,26
2019-10,2,65,23
2019-11,2,68,29
2019-12,1,59,24
2020-01,2,70,25
2020-02,2,83,26
2020-03,2,62,18
2020-04,2,66,18
2020-05,2,65,18
2020-06,2,68,19
2020-07,2,72,20
2020-08,2,72,22
2020-09,2,69,30
2020-10,2,63,23
2020-11,2,55,21
2020-12,2,55,20
2021-01,2,59,21
2021-02,2,59,24
2021-03,2,59,27
2021-04,2,58,23
2021-05,2,61,24
2021-06,2,63,24
2021-07,2,63,26
2021-08,2,64,26
2021-09,3,63,26
2021-10,2,63,25
2021-11,3,65,26
2021-12,3,63,26
2022-01,4,89,36
2022-02,4,90,42
2022-03,4,93,46
2022-04,4,92,45
2022-05,5,90,45
2022-06,4,90,49
2022-07,5,95,42
2022-08,5,100,41
2022-09,5,98,42
2022-10,4,88,37
